Nom du site,Pays,Catégorie,Date de l'inscription,URL site,Image URL,Code ISO,Justification,Localisation,Région du monde,Description,coordinates
Major Town Houses of the Architect Victor Horta (Brussels),Belgium,Cultural,2000,https://whc.unesco.org/en/list/1005,,be,"Criterion (i): The Town Houses of Victor Horta in Brussels are works of human creative genius, representing the highest expression of the influential Art Nouveau style in art and architecture. 
 Criterion (ii): The appearance of Art Nouveau in the closing years of the 19th century marked a decisive stage in the evolution of architecture, making possible subsequent developments, and the Town Houses of Victor Horta in Brussels bear exceptional witness to its radical new approach. 
 Criterion (iv): The Town Houses of Victor Horta are outstanding examples of Art Nouveau architecture brilliantly illustrating the transition from the 19th to the 20th century in art, thought, and society.",,Europe and North America,"The four major town houses - Hôtel Tassel, Hôtel Solvay, Hôtel van Eetvelde, and Maison & Atelier Horta - located in Brussels and designed by the architect Victor Horta, one of the earliest initiators of Art Nouveau, are some of the most remarkable pioneering works of architecture of the end of the 19th century. The stylistic revolution represented by these works is characterised by their open plan, the diffusion of light, and the brilliant joining of the curved lines of decoration with the structure of the building.","50.82806, 4.36223"
Historic Centre of Salvador de Bahia,Brazil,Cultural,1985,https://whc.unesco.org/en/list/309,,br,,"Bahia State, north-east region of Brazil",Latin America and the Caribbean,"As the first capital of Brazil, from 1549 to 1763, Salvador de Bahia witnessed the blending of European, African and Amerindian cultures. It was also, from 1558, the first slave market in the New World, with slaves arriving to work on the sugar plantations. The city has managed to preserve many outstanding Renaissance buildings. A special feature of the old town are the brightly coloured houses, often decorated with fine stucco-work.","-12.96666667, -38.5"
Central Amazon Conservation Complex,Brazil,Natural,2000,https://whc.unesco.org/en/list/998,,br,"Criterion (ix): The varzea and igapó forests, lakes, rivers, and islands of the proposed site together constitute physical and biological formations and demonstrate ongoing ecological processes in the development of terrestrial and freshwater ecosystems. They include a constantly changing and evolving mosaic of river channels, lakes, and landforms. The floating (and constantly moving and changing) mats of vegetation typical of the varzea watercourses include a significant number of endemic species, including the largest array of electric fishes in the world. Anavilhanas contains the second largest archipelago of river islands in the Brazilian Amazon. 
 Criterion (x): The expanded property substantially increases the already impressive protection offered by Jaú National Park to the biological diversity, habitats, and endangered species found in the Central Amazon region. The area is one of the Endemic Bird Areas of the World, is considered as one of the World Wildlife Fund’s 200 Priority Ecoregion for Conservation, and it is also a Centre of Plant Diversity. The expansion of Jaú National Park to include an important sample of Varzea ecosystems, igapó forests, lakes and channels significantly increases the representation of the aquatic biodiversity of the Central Amazon region. Expansion of the site also enhance the protection of key threatened species including giant arapaima fish, the Amazonian manatee, the black caiman, and two species of river dolphin.",State of Amazonas,Latin America and the Caribbean,"The Central Amazon Conservation Complex makes up the largest protected area in the Amazon Basin (over 6 million hectares) and is one of the planet’s richest regions in terms of biodiversity. It also includes an important sample of varzea ecosystems, igapó forests, lakes and channels which take the form of a constantly evolving aquatic mosaic that is home to the largest array of electric fish in the world. The site protects key threatened species, including giant arapaima fish, the Amazonian manatee, the black caiman and two species of river dolphin.","-2.333333333, -62.00833333"
Historic District of Old Québec,Canada,Cultural,1985,https://whc.unesco.org/en/list/300,,ca,,"Province of Quebec, City of Quebec",Europe and North America,"Québec was founded by the French explorer Champlain in the early 17th century. It is the only North American city to have preserved its ramparts, together with the numerous bastions, gates and defensive works which still surround Old Québec. The Upper Town, built on the cliff, has remained the religious and administrative centre, with its churches, convents and other monuments like the Dauphine Redoubt, the Citadel and Château Frontenac. Together with the Lower Town and its ancient districts, it forms an urban ensemble which is one of the best examples of a fortified colonial city.","46.80944444, -71.21055556"
Chengjiang Fossil Site,China,Natural,2012,https://whc.unesco.org/en/list/1388,,cn,,,Asia and the Pacific,"A hilly 512 ha site in Yunnan province, Chengjiang’s fossils present the most complete record of an early Cambrian marine community with exceptionally preserved biota, displaying the anatomy of hard and soft tissues in a very wide variety of organisms, invertebrate and vertebrate. They record the early establishment of a complex marine ecosystem. The site documents at least sixteen phyla and a variety of enigmatic groups as well as about 196 species, presenting exceptional testimony to the rapid diversification of life on Earth 530 million years ago, when almost all of today’s major animal groups emerged. It opens a palaeobiological window of great significance to scholarship.","24.6688888889, 102.977222222"
Xinjiang Tianshan,China,Natural,2013,https://whc.unesco.org/en/list/1414,,cn,,,Asia and the Pacific,"Xinjiang Tianshan comprises four components—Tomur, Kalajun-Kuerdening, Bayinbukuke and Bogda— that total 606,833 hectares. They are part of the Tianshan mountain system of Central Asia, one of the largest mountain ranges in the world. Xinjiang Tianshan presents unique physical geographic features and scenically beautiful areas including spectacular snow and snowy mountains glacier-capped peaks, undisturbed forests and meadows, clear rivers and lakes and red bed canyons. These landscapes contrast with the vast adjacent desert landscapes, creating a striking visual contrast between hot and cold environments, dry and wet, desolate and luxuriant. The landforms and ecosystems of the site have been preserved since the Pliocene epoch and present an outstanding example of ongoing biological and ecological evolutionary processes. The site also extends into the Taklimakan Desert, one of the world’s largest and highest deserts, known for its large dune forms and great dust storms. Xinjiang Tianshan is moreover an important habitat for endemic and relic flora species, some rare and endangered.","41.9683333333, 80.3541666667"
Lower Valley of the Awash,Ethiopia,Cultural,1980,https://whc.unesco.org/en/list/10,,et,,Afar region,Africa,"The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.","11.10006, 40.57939"
"Fasil Ghebbi, Gondar Region",Ethiopia,Cultural,1979,https://whc.unesco.org/en/list/19,,et,,Amhara Region,Africa,"In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.","12.60692, 37.46617"
Palace and Park of Fontainebleau,France,Cultural,1981,https://whc.unesco.org/en/list/160,,fr,,"Department of Seine-et-Marne, Ile-de-France",Europe and North America,"Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by François I, who wanted to make a 'New Rome' of it. Surrounded by an immense park, the Italianate palace combines Renaissance and French artistic traditions.","48.40194444, 2.698055556"
Gelati Monastery,Georgia,Cultural,1994,https://whc.unesco.org/en/list/710,,ge,,,Europe and North America,"Founded in 1106 in the west of Georgia, the Monastery of Gelati is a masterpiece of the Golden Age of medieval Georgia, a period of political strength and economic growth between the 11th and 13th centuries. It is characterized by the facades of smoothly hewn large blocks, balanced proportions and blind arches for exterior decoration. The Gelati monastery, one of the largest medieval Orthodox monasteries, was also a centre of science and education and the Academy it housed was one of the most important centres of culture in ancient Georgia.","42.2947222222, 42.7683333333"
